id,name,now_cost,position,team,ict_index_rank,influence_rank,influence_rank_type,starts_per_90,expected_assists,ep_this,status,threat_rank,clean_sheets,transfers_out,threat,dreamteam_count,chance_of_playing_this_round,form,cost_change_start_fall,form_rank_type,direct_freekicks_order,form_rank,expected_goals_per_90,clean_sheets_per_90,points_per_game_rank,starts,own_goals,ict_index_rank_type,penalties_missed,now_cost_rank_type,value_form,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,expected_assists_per_90,web_name,news_added,selected_rank,selected_by_percent,assists,expected_goals,expected_goals_conceded,bonus,cost_change_start,saves,chance_of_playing_next_round,event_points,minutes,yellow_cards,threat_rank_type,corners_and_indirect_freekicks_order,ep_next,in_dreamteam,selected_rank_type,expected_goal_involvements,penalties_saved,influence,points_per_game,saves_per_90,creativity,creativity_rank,red_cards,ict_index,transfers_in,expected_goals_conceded_per_90,value_season,creativity_rank_type,total_points,goals_scored,bps,goals_conceded,news,points_per_game_rank_type,penalties_order
481,John Fleck,49,MID,Sheffield Utd,492,509,226,1.01,0.35,0.0,u,485,0,1431,2.0,0,0.0,0.0,1,314,,766,0.0,0.0,549,1,0,223,0,137,0.0,0.35,218,5.06,0.35,Fleck,2024-02-04T18:53:18.011553Z,773,0.0,0,0.00,3.15,0,-1,0,0.0,0,89,1,237,,0.0,False,306,0.35,0,5.4,0.8,0.0,26.0,421,0,3.3,683,3.19,0.6,206,3,0,13,5,Transferred to Blackburn Rovers,257,
482,Wes Foderingham,44,GKP,Sheffield Utd,165,19,8,0.99,0.05,2.5,a,658,1,70918,0.0,0,,3.5,1,5,,81,0.0,0.03,249,29,1,7,0,24,0.8,0.0,523,2.69,0.0,Foderingham,,300,0.3,0,0.00,62.03,7,-1,133,,3,2648,2,77,,0.8,False,40,0.05,0,966.0,2.3,4.52,10.0,456,0,97.7,62115,2.11,15.9,10,70,0,531,79,,32,
483,Daniel Jebbison,48,FWD,Sheffield Utd,532,827,103,0.0,0.00,-0.5,a,470,0,3635,4.0,0,100.0,0.5,2,41,,317,0.0,0.0,519,0,0,67,0,60,0.1,0.0,297,0.0,0.0,Jebbison,2023-08-06T23:30:06.119901Z,688,0.0,0,0.00,0.94,0,-2,0,100.0,1,20,0,67,,-1.0,False,95,0.00,0,0.0,1.0,0.0,0.1,530,0,0.4,2664,4.23,0.2,70,1,0,3,0,,67,
484,Max Lowe,43,DEF,Sheffield Utd,431,392,151,0.72,0.09,0.0,a,422,0,7956,18.0,0,100.0,1.0,2,60,,208,0.1,0.0,425,4,0,154,0,128,0.2,0.12,622,2.17,0.02,Lowe,2024-02-19T00:30:08.234377Z,593,0.0,1,0.58,11.10,0,-2,0,100.0,1,498,1,154,,-0.8,False,226,0.67,0,102.2,1.3,0.0,31.9,407,0,15.2,2093,2.01,3.0,151,13,0,47,12,,147,
485,Oliver McBurnie,54,FWD,Sheffield Utd,141,202,21,1.06,1.98,-1.0,a,64,1,61574,501.0,1,100.0,0.0,1,101,,827,0.49,0.07,150,15,0,27,0,33,0.0,0.63,110,3.03,0.14,McBurnie,2024-04-24T23:00:09.361693Z,427,0.1,3,6.91,27.74,9,-1,0,100.0,0,1279,3,26,,-0.6,False,65,8.88,0,377.4,3.1,0.0,195.9,205,2,107.5,63433,1.95,12.2,29,66,6,225,43,,25,1.0
486,Iliman Ndiaye,55,FWD,Sheffield Utd,855,855,108,0.0,0.00,0.0,u,854,0,2179,0.0,0,0.0,0.0,0,104,,836,0.0,0.0,855,0,0,108,0,31,0.0,0.0,106,0.0,0.0,Ndiaye,2023-08-02T07:28:59.550053Z,720,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,108,,0.0,False,104,0.00,0,0.0,0.0,0.0,0.0,855,0,0.0,0,0.0,0.0,108,0,0,0,0,Permanent transfer to Marseille,108,
487,Rhys Norrington-Davies,39,DEF,Sheffield Utd,504,500,181,1.65,0.00,0.0,i,473,0,26854,2.0,0,0.0,0.0,1,131,,391,0.0,0.0,563,2,0,179,0,263,0.0,0.0,837,4.95,0.0,Norrington-Davies,2024-02-10T20:30:08.290753Z,392,0.1,0,0.00,2.58,0,-1,0,0.0,0,109,1,175,,0.0,False,161,0.00,0,8.2,0.4,0.0,11.7,449,0,2.0,30381,2.13,0.5,168,2,0,12,6,Hamstring injury - Expected back 01 Jun,188,
488,Oliver Norwood,48,MID,Sheffield Utd,243,253,103,1.01,1.23,-1.0,a,308,0,11773,82.0,0,100.0,0.0,2,305,,756,0.07,0.0,391,16,0,119,0,173,0.0,0.15,269,2.96,0.08,Norwood,2023-12-06T22:00:10.467989Z,597,0.0,0,1.10,35.98,3,-2,0,100.0,0,1429,8,154,4.0,-0.6,False,212,2.33,0,311.2,1.6,0.0,275.3,154,0,66.8,10419,2.27,8.8,103,42,1,232,47,,170,2.0
489,Ben Osborn,48,MID,Sheffield Utd,320,329,138,0.93,0.93,-0.4,d,408,0,3443,26.0,0,75.0,0.5,2,145,,316,0.01,0.0,392,14,1,150,0,182,0.1,0.07,280,2.65,0.06,Osborn,2024-05-12T22:00:07.454383Z,677,0.0,2,0.22,28.43,0,-2,0,75.0,1,1359,3,202,,0.5,False,260,1.15,0,191.4,1.6,0.0,212.2,191,0,42.8,1435,1.88,7.9,122,38,0,182,40,Hamstring injury - 75% chance of playing,171,
490,William Osula,42,FWD,Sheffield Utd,398,471,53,1.04,0.15,-1.0,a,181,0,382763,200.0,0,100.0,0.0,3,48,,522,0.19,0.0,436,9,0,50,0,112,0.0,0.21,681,2.66,0.02,Osula,2023-09-13T01:00:07.758026Z,208,0.8,1,1.64,20.19,0,-3,0,100.0,0,778,4,43,,-0.6,False,34,1.79,0,27.0,1.2,0.0,24.9,424,0,24.4,304956,2.34,6.0,57,25,0,27,23,,54,
