id,name,now_cost,position,team,ict_index_rank,influence_rank,influence_rank_type,starts_per_90,expected_assists,ep_this,status,threat_rank,clean_sheets,transfers_out,threat,dreamteam_count,chance_of_playing_this_round,form,cost_change_start_fall,form_rank_type,direct_freekicks_order,form_rank,expected_goals_per_90,clean_sheets_per_90,points_per_game_rank,starts,own_goals,ict_index_rank_type,penalties_missed,now_cost_rank_type,value_form,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,expected_assists_per_90,web_name,news_added,selected_rank,selected_by_percent,assists,expected_goals,expected_goals_conceded,bonus,cost_change_start,saves,chance_of_playing_next_round,event_points,minutes,yellow_cards,threat_rank_type,corners_and_indirect_freekicks_order,ep_next,in_dreamteam,selected_rank_type,expected_goal_involvements,penalties_saved,influence,points_per_game,saves_per_90,creativity,creativity_rank,red_cards,ict_index,transfers_in,expected_goals_conceded_per_90,value_season,creativity_rank_type,total_points,goals_scored,bps,goals_conceded,news,points_per_game_rank_type,penalties_order
1,Folarin Balogun,44,FWD,Arsenal,709,706,73,0.0,0.00,0.0,u,672,0,63680,0.0,0,0.0,0.0,1,52,,576,0.0,0.0,720,0,0,75,0,104,0.0,0.0,560,0.0,0.0,Balogun,2023-08-31T08:55:15.272751Z,354,0.2,0,0.00,0.00,0,-1,0,0.0,0,0,0,72,,0.0,False,52,0.00,0,0.0,0.0,0.0,0.0,701,0,0.0,10024,0.0,0.0,73,0,0,0,0,Transferred to Monaco,78,
2,Cédric Alves Soares,38,DEF,Arsenal,525,531,191,0.0,0.02,1.0,a,491,0,71397,0.0,0,,0.0,2,118,,360,0.0,0.0,454,0,0,185,0,271,0.0,0.03,854,0.0,0.03,Cédric,,242,0.5,0,0.00,0.39,0,-2,0,,0,59,0,180,,1.0,False,96,0.02,0,2.0,1.0,0.0,4.3,472,0,0.6,76023,0.59,0.8,175,3,0,15,0,,156,
3,Mohamed Elneny,44,MID,Arsenal,512,517,231,0.0,0.01,1.0,a,447,0,20652,10.0,0,100.0,0.0,1,185,,562,0.29,0.0,305,0,0,232,0,319,0.0,0.33,532,0.0,0.04,M.Elneny,2023-12-30T22:30:09.113694Z,473,0.1,1,0.08,0.13,0,-1,0,100.0,0,25,0,221,,1.0,False,154,0.09,0,4.0,2.0,0.0,2.1,486,0,1.6,13751,0.47,1.4,233,6,0,16,0,,127,
4,Fábio Ferreira Vieira,54,MID,Arsenal,391,414,177,0.62,0.64,1.0,a,304,1,19255,85.0,0,100.0,0.0,1,357,,830,0.39,0.31,277,2,0,177,0,73,0.0,0.59,121,0.62,0.2,Fábio Vieira,2023-12-07T12:00:08.489004Z,449,0.1,3,1.25,1.83,0,-1,0,100.0,0,290,0,152,,1.2,False,144,1.89,0,82.8,2.2,0.0,88.8,323,1,25.5,11816,0.57,4.4,177,24,1,67,2,,116,4.0
5,Gabriel dos Santos Magalhães,54,DEF,Arsenal,121,65,21,1.01,0.65,5.0,a,103,16,3574404,379.0,3,100.0,4.0,-4,21,,68,0.13,0.47,45,34,1,22,0,13,0.7,0.15,116,0.77,0.02,Gabriel,2024-03-18T22:00:08.938811Z,9,28.3,1,4.48,26.18,8,4,0,100.0,1,3042,4,4,,6.4,True,2,5.13,0,675.8,4.1,0.0,121.9,276,0,117.9,3607340,0.77,27.6,82,149,3,676,26,,6,
6,Kai Havertz,76,MID,Arsenal,19,47,15,1.03,3.88,7.0,a,14,16,832407,1027.0,5,100.0,6.0,-1,16,,30,0.42,0.55,19,30,0,15,0,12,0.8,0.55,20,0.75,0.13,Havertz,2023-12-23T20:00:08.458889Z,34,11.9,10,12.36,21.03,15,1,0,100.0,6,2627,11,8,,9.2,False,11,16.23,0,763.2,4.9,0.0,613.4,51,0,240.2,1629451,0.72,23.7,45,180,13,515,22,,15,3.0
8,Gabriel Fernando de Jesus,77,FWD,Arsenal,77,210,24,1.04,3.26,2.0,a,31,11,1236225,756.0,1,100.0,1.0,3,36,,247,0.38,0.67,151,17,0,17,0,7,0.1,0.58,18,0.67,0.2,G.Jesus,2024-02-05T08:30:09.036230Z,118,2.6,7,6.27,11.67,10,-3,0,100.0,1,1470,6,15,,3.2,False,21,9.53,0,364.8,3.1,0.0,403.0,95,0,152.7,1145854,0.71,11.0,10,85,4,271,11,,26,
9,Jorge Luiz Frello Filho,53,MID,Arsenal,346,348,147,0.99,1.77,1.5,a,433,4,22411,16.0,0,100.0,0.5,2,156,,332,0.01,0.39,356,10,0,156,0,77,0.1,0.18,127,1.08,0.17,Jorginho,2023-12-18T00:00:09.353001Z,348,0.2,2,0.10,8.42,1,-2,0,100.0,0,913,1,213,,1.4,False,105,1.87,0,165.4,1.8,0.0,187.8,211,0,36.8,12306,0.83,8.3,130,44,0,182,11,,156,
10,Jakub Kiwior,40,DEF,Arsenal,321,305,116,1.05,0.60,1.5,a,295,6,204509,90.0,1,,0.5,5,81,,272,0.07,0.57,91,11,0,111,0,190,0.1,0.13,726,0.76,0.06,Kiwior,,225,0.6,3,0.74,5.15,1,-5,0,,0,942,1,94,,2.6,False,89,1.34,0,228.8,3.4,0.0,106.9,301,0,42.7,254158,0.49,16.8,94,67,1,260,8,,16,
11,Marcus Oliveira Alencar,45,MID,Arsenal,763,759,299,0.0,0.00,0.0,u,738,0,11967,0.0,0,0.0,0.0,0,234,,654,0.0,0.0,765,0,0,300,0,251,0.0,0.0,427,0.0,0.0,Marquinhos,2023-08-14T03:57:12.475590Z,557,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,290,,0.0,False,194,0.00,0,0.0,0.0,0.0,0.0,753,0,0.0,819,0.0,0.0,298,0,0,0,0,Season long loan to FC Nantes,303,
12,Gabriel Martinelli Silva,75,MID,Arsenal,38,143,63,1.07,5.18,2.5,a,26,10,2295946,795.0,2,100.0,1.5,5,91,,185,0.28,0.45,103,24,0,27,0,15,0.2,0.51,23,1.03,0.23,Martinelli,2024-03-05T09:00:08.920090Z,87,4.2,5,6.36,14.88,6,-5,0,100.0,2,2010,1,13,,2.0,False,26,11.53,0,500.4,3.4,0.0,717.1,38,0,200.8,1282049,0.67,15.7,32,118,6,404,23,,49,
13,Eddie Nketiah,50,FWD,Arsenal,218,300,35,0.85,0.53,1.0,a,89,6,1712693,417.0,1,100.0,0.0,5,97,,802,0.39,0.51,209,10,0,34,0,45,0.0,0.43,193,0.85,0.04,Nketiah,2023-11-09T08:30:08.250179Z,106,3.1,4,4.65,10.21,5,-5,0,100.0,0,1065,3,32,,1.0,False,19,5.18,0,235.0,2.6,0.0,136.3,259,0,77.2,1586339,0.86,14.2,33,71,5,206,10,,33,
14,Martin Ødegaard,86,MID,Arsenal,6,24,11,1.02,10.16,7.5,a,30,19,3681283,757.0,3,100.0,6.5,-1,11,1.0,22,0.22,0.55,13,35,0,6,0,5,0.8,0.52,8,0.67,0.3,Ødegaard,2024-04-15T08:30:08.797068Z,17,18.0,11,7.53,25.26,26,1,0,100.0,10,3098,2,16,3.0,6.6,False,7,17.69,0,910.4,5.3,0.0,1499.4,3,0,317.0,3064865,0.73,21.6,3,186,8,703,23,,10,2.0
15,Thomas Partey,48,MID,Arsenal,379,381,159,1.03,0.58,3.0,a,377,5,38304,37.0,0,100.0,2.0,2,64,,141,0.05,0.57,375,9,0,171,0,181,0.4,0.12,279,0.57,0.07,Thomas,2023-10-25T12:00:07.465521Z,382,0.1,0,0.43,8.45,0,-2,0,100.0,1,785,3,191,,3.0,False,115,1.01,0,117.6,1.7,0.0,122.9,274,0,27.8,9512,0.97,5.0,158,24,0,142,5,,161,
16,Nicolas Pépé,49,MID,Arsenal,835,834,355,0.0,0.00,0.0,u,824,0,6518,0.0,0,0.0,0.0,1,322,,777,0.0,0.0,835,0,0,355,0,149,0.0,0.0,236,0.0,0.0,Pepe,2023-09-11T14:13:51.462896Z,553,0.0,0,0.00,0.00,0,-1,0,0.0,0,0,0,351,,0.0,False,192,0.00,0,0.0,0.0,0.0,0.0,831,0,0.0,667,0.0,0.0,354,0,0,0,0,Permanent move to Trabzonspor,355,
17,Aaron Ramsdale,45,GKP,Arsenal,469,424,34,1.0,0.01,1.0,a,712,2,1536059,0.0,0,,0.0,5,97,,624,0.0,0.33,111,6,0,34,0,21,0.0,0.0,385,0.83,0.0,Ramsdale,,65,5.4,0,0.00,5.81,0,-5,9,,0,540,0,86,,1.0,False,13,0.01,0,73.2,3.3,1.5,0.0,730,0,7.3,286133,0.97,4.4,93,20,0,90,5,,19,
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,596,590,68,0.0,0.00,0.0,u,538,0,11886,0.0,0,0.0,0.0,0,59,,410,0.0,0.0,605,0,0,68,0,40,0.0,0.0,693,0.0,0.0,Rúnarsson,2023-08-20T06:33:02.960208Z,469,0.1,0,0.00,0.00,0,0,0,0.0,0,0,0,38,,0.0,False,66,0.00,0,0.0,0.0,0.0,0.0,578,0,0.0,990,0.0,0.0,54,0,0,0,0,Contract terminated,68,
19,Bukayo Saka,88,MID,Arsenal,1,7,4,1.08,10.90,1.5,d,5,16,7927468,1342.0,5,75.0,1.0,-3,120,,248,0.47,0.49,6,35,0,1,0,4,0.1,0.81,7,0.83,0.34,Saka,2024-05-10T14:00:09.463165Z,3,49.2,12,15.40,25.66,29,3,0,75.0,0,2922,4,2,1.0,5.7,True,2,26.29,0,1093.8,6.5,0.0,1319.8,4,0,375.7,7038452,0.79,25.7,4,226,16,776,27,Knock - 75% chance of playing,5,1.0
20,William Saliba,59,DEF,Arsenal,161,60,17,1.0,0.90,6.5,a,230,18,3018282,140.0,1,100.0,5.5,-9,11,,37,0.04,0.47,35,38,0,37,0,7,0.9,0.06,72,0.76,0.02,Saliba,2023-10-09T08:30:07.861646Z,6,39.1,1,1.70,28.32,13,9,0,100.0,2,3420,4,60,,7.0,True,1,2.60,0,697.2,4.3,0.0,152.1,244,0,99.1,4896615,0.75,27.8,69,164,2,781,29,,5,
22,Emile Smith Rowe,53,MID,Arsenal,390,436,188,0.79,0.40,1.5,a,246,3,18246,128.0,0,100.0,0.5,2,157,,333,0.49,0.79,341,3,0,176,0,85,0.1,0.59,140,0.79,0.1,Smith Rowe,2024-02-12T00:00:07.746307Z,424,0.1,2,1.86,2.10,0,-2,0,100.0,1,343,0,134,,1.0,False,130,2.26,0,62.4,1.9,0.0,72.2,341,0,25.6,6597,0.55,4.7,184,25,0,73,3,,148,
24,Kieran Tierney,44,DEF,Arsenal,703,700,271,0.0,0.00,0.0,u,666,0,28911,0.0,0,0.0,0.0,1,240,,568,0.0,0.0,714,0,0,271,0,95,0.0,0.0,542,0.0,0.0,Tierney,2023-08-29T07:46:59.686803Z,430,0.1,0,0.00,0.00,0,-1,0,0.0,0,0,0,270,,0.0,False,174,0.00,0,0.0,0.0,0.0,0.0,695,0,0.0,2665,0.0,0.0,271,0,0,0,0,Season long loan to Real Sociedad,270,
25,Takehiro Tomiyasu,45,DEF,Arsenal,282,295,111,0.79,0.68,8.5,a,227,6,97645,143.0,1,100.0,7.5,0,5,,12,0.14,0.47,123,10,0,92,0,67,1.7,0.19,383,0.79,0.05,Tomiyasu,2024-05-10T14:00:09.477439Z,251,0.5,1,1.74,14.03,4,0,0,100.0,9,1140,0,59,,4.8,False,102,2.42,0,247.0,3.2,0.0,141.8,251,1,52.8,109756,1.11,15.6,73,70,2,244,10,,26,
26,Leandro Trossard,66,MID,Arsenal,58,103,39,0.99,2.96,7.5,a,36,12,849220,746.0,2,100.0,6.5,4,10,,21,0.46,0.66,47,18,0,41,0,26,1.0,0.62,44,0.55,0.16,Trossard,2023-10-09T08:30:07.911344Z,97,3.6,2,8.29,13.46,11,-4,0,100.0,2,1633,2,20,,8.2,False,29,11.25,0,563.6,4.1,0.0,384.7,102,0,169.5,670632,0.74,20.9,75,138,12,398,10,,30,
29,Benjamin White,61,DEF,Arsenal,69,46,13,1.05,3.66,5.0,a,157,18,1835264,234.0,5,100.0,4.0,-6,22,,71,0.04,0.54,18,35,0,6,0,5,0.7,0.15,62,0.78,0.11,White,2023-11-12T02:00:08.673390Z,11,23.3,5,1.27,24.95,14,6,0,100.0,2,2987,8,19,,8.8,True,3,4.93,0,765.8,4.9,0.0,589.4,55,0,159.0,3267766,0.75,29.8,8,182,4,776,26,,1,
30,Granit Xhaka,60,MID,Arsenal,859,859,372,0.0,0.00,0.0,u,859,0,1238,0.0,0,0.0,0.0,0,365,,844,0.0,0.0,859,0,0,372,0,38,0.0,0.0,63,0.0,0.0,Xhaka,2023-07-11T08:41:07.159936Z,717,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,372,,0.0,False,276,0.00,0,0.0,0.0,0.0,0.0,859,0,0.0,0,0.0,0.0,372,0,0,0,0,Transferred to Bayer Leverkusen,372,
31,Oleksandr Zinchenko,50,DEF,Arsenal,160,192,68,1.05,2.65,1.5,a,242,9,1906444,133.0,3,100.0,0.5,0,108,,323,0.03,0.47,53,20,0,36,0,23,0.1,0.17,194,0.79,0.14,Zinchenko,2024-02-05T08:30:09.070071Z,73,5.1,2,0.60,12.33,16,0,0,100.0,1,1717,2,65,,1.2,False,26,3.25,0,395.4,3.9,0.0,474.8,74,0,100.4,1680368,0.65,20.8,13,104,1,468,15,,8,
113,David Raya Martin,53,GKP,Arsenal,330,180,21,1.0,0.04,4.5,a,845,16,1187443,0.0,0,100.0,3.5,-3,7,,85,0.0,0.5,38,32,0,21,0,4,0.7,0.0,133,0.75,0.0,Raya,2024-03-04T01:00:08.802779Z,37,11.7,0,0.00,22.51,6,3,46,100.0,2,2880,2,97,,6.6,False,6,0.04,1,413.0,4.2,1.44,0.0,847,0,41.1,1846094,0.7,25.5,99,135,0,569,24,,3,
540,Declan Rice,55,MID,Arsenal,30,20,10,1.03,5.09,3.0,a,76,17,981933,451.0,3,100.0,2.0,0,78,2.0,157,0.1,0.47,33,37,0,23,0,59,0.4,0.24,101,0.78,0.14,Rice,2024-01-20T15:30:10.454900Z,57,6.2,9,3.53,27.08,17,0,0,100.0,1,3225,5,47,2.0,7.8,False,18,8.62,0,959.4,4.3,0.0,745.3,34,0,215.9,934076,0.76,30.0,28,165,7,744,28,,21,
578,Reiss Nelson,48,MID,Arsenal,420,454,198,0.35,0.43,1.0,a,370,1,8541,39.0,0,100.0,0.0,2,309,,760,0.06,0.35,450,1,0,191,0,186,0.0,0.21,285,0.35,0.15,Nelson,2023-08-07T15:30:06.067296Z,560,0.0,0,0.18,2.18,0,-2,0,100.0,0,256,1,190,4.0,1.0,False,196,0.61,0,42.8,1.1,0.0,87.7,326,0,16.9,6984,0.77,3.3,179,16,0,58,1,,205,
585,Jurriën Timber,46,DEF,Arsenal,517,508,183,1.29,0.02,1.0,a,483,0,482082,2.0,0,100.0,0.0,4,259,,737,0.0,0.0,824,1,0,183,0,42,0.0,0.03,340,0.0,0.03,J.Timber,2023-08-12T18:00:07.121160Z,261,0.4,0,0.00,0.28,0,-4,0,100.0,0,70,2,179,,1.0,False,105,0.02,0,5.8,0.0,0.0,4.7,469,0,1.3,14304,0.36,0.0,173,0,0,4,0,,277,
646,Karl Hein,40,GKP,Arsenal,634,628,81,0.0,0.00,1.0,a,577,0,5476,0.0,0,,0.0,0,72,,453,0.0,0.0,643,0,0,81,0,54,0.0,0.0,742,0.0,0.0,Hein,,509,0.1,0,0.00,0.00,0,0,0,,0,0,0,52,,1.0,False,70,0.00,0,0.0,0.0,0.0,0.0,617,0,0.0,5790,0.0,0.0,68,0,0,0,0,,81,
735,Charles Sagoe,45,MID,Arsenal,790,786,322,0.0,0.00,0.0,u,768,0,592,0.0,0,0.0,0.0,0,263,,688,0.0,0.0,791,0,0,323,0,284,0.0,0.0,467,0.0,0.0,Sagoe,2024-02-04T18:57:41.109017Z,805,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,315,,0.0,False,330,0.00,0,0.0,0.0,0.0,0.0,782,0,0.0,641,0.0,0.0,322,0,0,0,0,Season-long loan to Swansea City,325,
736,Reuell Walters,40,DEF,Arsenal,665,660,251,0.0,0.00,1.0,a,611,0,3862,0.0,0,,0.0,0,194,,488,0.0,0.0,673,0,0,251,0,230,0.0,0.0,781,0.0,0.0,Walters,,561,0.0,0,0.00,0.00,0,0,0,,0,0,0,244,,1.0,False,216,0.00,0,0.0,0.0,0.0,0.0,649,0,0.0,4935,0.0,0.0,249,0,0,0,0,,247,
737,Bradley Ibrahim,45,MID,Arsenal,800,796,329,0.0,0.00,0.0,u,779,0,536,0.0,0,0.0,0.0,0,272,,702,0.0,0.0,800,0,0,330,0,294,0.0,0.0,482,0.0,0.0,Ibrahim,2024-02-02T15:30:45.761395Z,800,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,323,,0.0,False,326,0.00,0,0.0,0.0,0.0,0.0,792,0,0.0,549,0.0,0.0,329,0,0,0,0,Permanent transfer to Hertha Berlin,331,
764,Myles Lewis-Skelly,45,MID,Arsenal,777,773,311,0.0,0.00,1.0,a,752,0,373,0.0,0,,0.0,0,248,,670,0.0,0.0,779,0,0,312,0,267,0.0,0.0,447,0.0,0.0,Lewis-Skelly,,791,0.0,0,0.00,0.00,0,0,0,,0,0,0,302,,1.0,False,318,0.00,0,0.0,0.0,0.0,0.0,767,0,0.0,511,0.0,0.0,310,0,0,0,0,,315,
772,Ethan Nwaneri,45,MID,Arsenal,507,534,240,0.0,0.05,1.0,a,467,0,236,4.0,0,,0.0,0,249,,671,0.0,0.0,496,0,0,229,0,268,0.0,0.35,448,0.0,0.35,Nwaneri,,819,0.0,0,0.00,0.13,0,0,0,,0,13,0,229,,1.0,False,341,0.05,0,2.0,1.0,0.0,12.3,446,0,1.8,300,0.9,0.2,219,1,0,3,0,,224,
815,Mauro Bandeira,45,MID,Arsenal,779,775,313,0.0,0.00,1.0,a,756,0,131,0.0,0,,0.0,0,253,,675,0.0,0.0,781,0,0,314,0,273,0.0,0.0,453,0.0,0.0,Bandeira,,829,0.0,0,0.00,0.00,0,0,0,,0,0,0,306,,1.0,False,348,0.00,0,0.0,0.0,0.0,0.0,770,0,0.0,187,0.0,0.0,313,0,0,0,0,,317,
817,James Sweet,40,DEF,Arsenal,650,644,239,0.0,0.00,1.0,a,594,0,407,0.0,0,,0.0,0,181,,471,0.0,0.0,658,0,0,240,0,215,0.0,0.0,762,0.0,0.0,Sweet,,709,0.0,0,0.00,0.00,0,0,0,,0,0,0,231,,1.0,False,251,0.00,0,0.0,0.0,0.0,0.0,633,0,0.0,612,0.0,0.0,237,0,0,0,0,,236,
32,Alexandre Moreno Lopera,49,DEF,Aston Villa,284,310,118,0.97,0.98,0.4,d,218,3,526735,152.0,2,75.0,0.0,1,265,,770,0.1,0.26,260,11,1,94,0,26,0.0,0.19,224,1.76,0.09,Alex Moreno,2024-05-10T03:00:08.371780Z,184,1.1,0,1.11,18.50,5,-1,0,75.0,0,1024,2,55,,0.5,False,76,2.09,0,217.8,2.3,0.0,156.9,240,0,52.7,623103,1.63,10.0,67,49,2,211,20,Knock - 75% chance of playing,80,
34,Leon Bailey,54,MID,Aston Villa,39,69,26,0.96,7.17,1.5,a,47,5,996392,623.0,2,100.0,1.0,1,116,4.0,239,0.27,0.22,39,22,0,28,0,68,0.2,0.58,115,1.4,0.31,Bailey,2023-12-15T09:30:09.140206Z,104,3.1,11,6.29,36.17,11,-1,0,100.0,0,2063,5,27,3.0,5.0,False,32,13.46,0,663.2,4.2,0.0,707.1,39,0,199.1,1217765,1.58,27.4,33,148,10,482,32,,24,
35,Emiliano Buendía Stati,57,MID,Aston Villa,857,857,371,0.0,0.00,0.0,i,857,0,17504,0.0,0,0.0,0.0,3,362,,839,0.0,0.0,857,0,0,371,0,51,0.0,0.0,84,0.0,0.0,Buendia,2023-08-10T11:00:05.686871Z,570,0.0,0,0.00,0.00,0,-3,0,0.0,0,0,0,371,,0.0,False,201,0.00,0,0.0,0.0,0.0,0.0,857,0,0.0,1212,0.0,0.0,371,0,0,0,0,Knee injury - Expected back 01 Jun,371,
36,Matty Cash,45,DEF,Aston Villa,144,158,53,0.97,2.47,0.0,i,104,3,3945884,378.0,1,0.0,0.0,0,252,,617,0.19,0.13,271,23,1,31,0,62,0.0,0.29,373,1.52,0.1,Cash,2024-05-14T00:00:08.031324Z,43,9.9,2,4.41,36.78,4,0,0,0.0,0,2138,8,5,,0.0,False,15,6.88,0,465.2,2.2,0.0,231.8,181,0,107.1,4085717,1.55,14.2,39,64,2,337,36,Calf injury - Expected back 01 Jun,87,
37,Calum Chambers,38,DEF,Aston Villa,481,458,172,0.6,0.01,2.5,a,493,0,205831,0.0,0,,2.0,2,39,,128,0.0,0.0,434,1,0,173,0,273,0.5,0.01,857,3.62,0.01,Chambers,,124,2.2,1,0.00,4.89,0,-2,0,,0,149,1,181,,1.7,False,48,0.01,0,39.0,1.2,0.0,12.2,447,0,5.1,299664,2.95,1.6,166,6,0,37,6,,149,
38,Philippe Coutinho Correia,58,MID,Aston Villa,509,518,232,0.0,0.02,0.0,u,443,0,48145,12.0,0,0.0,0.0,2,363,,841,0.56,0.0,529,0,0,231,0,46,0.0,0.64,74,3.75,0.08,Coutinho,2023-08-20T22:00:05.790965Z,365,0.2,0,0.15,0.68,0,-2,0,0.0,0,24,0,219,,0.0,False,110,0.17,0,4.0,1.0,0.0,2.8,479,0,1.8,4781,2.55,0.3,231,2,0,7,1,Joined Al-Duhail on loan for the rest of the season,247,
39,Keinan Davis,49,FWD,Aston Villa,836,836,105,0.0,0.00,0.0,u,825,0,23560,0.0,0,0.0,0.0,1,93,,781,0.0,0.0,836,0,0,105,0,52,0.0,0.0,245,0.0,0.0,Davis,2023-09-03T20:12:01.415986Z,408,0.1,0,0.00,0.00,0,-1,0,0.0,0,0,0,105,,0.0,False,62,0.00,0,0.0,0.0,0.0,0.0,832,0,0.0,4950,0.0,0.0,105,0,0,0,0,Transferred to Udinese,105,
40,Leander Dendoncker,49,MID,Aston Villa,461,440,190,0.76,0.01,0.0,u,378,0,5571,37.0,1,0.0,0.0,1,319,,774,0.56,0.0,224,1,0,204,0,145,0.0,0.57,230,2.29,0.01,Dendoncker,2024-01-29T08:13:57.106504Z,650,0.0,1,0.73,1.58,3,-1,0,0.0,0,118,0,192,,0.0,False,245,0.74,0,59.2,2.5,0.0,3.9,476,0,10.0,3934,1.21,4.1,230,20,1,64,3,Has joined Napoli on loan for the remainder of the season,95,
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,280,206,75,1.0,0.35,1.0,a,283,6,126686,100.0,0,100.0,0.5,1,92,,286,0.1,0.3,306,20,0,90,0,89,0.1,0.12,535,1.79,0.02,Diego Carlos,2024-03-15T00:00:09.302423Z,252,0.5,0,1.95,33.17,1,-1,0,100.0,0,1809,4,87,,1.7,False,103,2.30,0,370.4,2.0,0.0,59.8,359,0,53.2,116665,1.65,12.5,124,55,0,338,36,,102,
42,Lucas Digne,46,DEF,Aston Villa,109,166,57,1.01,3.49,0.5,a,183,6,1027919,200.0,2,100.0,0.0,-1,258,2.0,733,0.04,0.22,206,27,0,19,0,40,0.0,0.17,332,1.53,0.13,Digne,2023-12-27T18:30:08.720986Z,108,3.1,4,0.99,41.65,5,1,0,100.0,-1,2405,7,36,4.0,2.0,False,40,4.48,0,448.4,2.6,0.0,601.7,52,0,125.1,1176629,1.56,18.5,6,85,1,420,41,,60,
43,Douglas Luiz Soares de Paulo,54,MID,Aston Villa,37,48,16,1.05,4.86,2.0,a,101,6,2969108,381.0,3,100.0,1.5,1,90,1.0,184,0.2,0.18,40,35,0,26,0,69,0.3,0.35,117,1.71,0.15,Douglas Luiz,2024-04-06T19:30:09.134697Z,74,4.8,5,6.69,52.79,25,-1,0,100.0,1,2994,12,64,1.0,1.7,False,24,11.55,0,761.8,4.2,0.0,867.0,26,0,201.1,3152069,1.59,27.4,20,148,9,666,57,,25,1.0
44,Jhon Durán,50,FWD,Aston Villa,334,330,37,0.59,0.15,7.5,a,205,0,59416,165.0,1,100.0,7.0,0,4,,14,0.4,0.0,275,3,0,43,0,47,1.4,0.43,208,2.34,0.03,Duran,2024-01-25T17:30:08.815370Z,333,0.2,1,2.04,11.16,7,0,0,100.0,2,461,5,44,,4.3,False,48,2.18,0,190.2,2.2,0.0,55.2,367,0,40.2,65783,2.18,10.0,50,50,5,162,12,,41,
45,Kortney Hause,39,DEF,Aston Villa,567,561,195,0.0,0.00,0.5,a,504,0,23819,0.0,0,,0.0,1,126,,375,0.0,0.0,576,0,0,196,0,254,0.0,0.0,817,0.0,0.0,Hause,,338,0.2,0,0.00,0.00,0,-1,0,,0,0,0,184,,0.5,False,139,0.00,0,0.0,0.0,0.0,0.0,547,0,0.0,18030,0.0,0.0,193,0,0,0,0,,193,
46,Tim Iroegbunam,44,MID,Aston Villa,502,487,217,0.57,0.00,1.0,a,688,0,4487,0.0,0,100.0,0.5,1,133,,291,0.0,0.0,447,1,0,226,0,341,0.1,0.0,586,4.01,0.0,Iroegbunam,2023-08-10T15:00:04.998490Z,624,0.0,0,0.00,4.95,0,-1,0,100.0,1,157,0,262,,0.7,False,229,0.00,0,18.6,1.1,0.0,4.0,474,0,2.1,2177,2.84,2.3,228,10,0,29,7,,203,
47,Boubacar Kamara,50,MID,Aston Villa,261,287,118,1.09,1.39,0.0,i,364,7,21150,44.0,0,0.0,0.0,0,340,,806,0.01,0.38,320,20,0,129,0,120,0.0,0.09,199,1.2,0.08,Kamara,2024-02-12T00:00:07.805556Z,438,0.1,1,0.13,24.68,1,0,0,0.0,0,1653,7,188,,0.0,False,137,1.52,0,256.2,2.0,0.0,292.7,141,1,59.1,15902,1.34,8.0,94,40,0,247,22,Knee injury - Expected back 14 Sep,137,
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,173,107,38,1.03,1.01,1.0,a,169,7,512279,223.0,1,100.0,0.5,0,102,,297,0.08,0.21,203,35,0,44,0,63,0.1,0.11,374,1.58,0.03,Konsa,2024-02-05T23:30:08.432257Z,125,2.2,1,2.56,52.28,7,0,0,100.0,0,3069,5,27,,2.0,False,49,3.57,0,554.4,2.6,0.0,170.6,230,0,95.0,615856,1.53,20.2,61,91,1,562,54,,58,
49,Emiliano Martínez Romero,52,GKP,Aston Villa,201,39,12,1.01,0.01,0.5,a,844,8,1479468,0.0,1,100.0,0.0,-2,100,,816,0.0,0.24,95,34,2,12,0,6,0.0,0.0,146,1.43,0.0,Martinez,2024-04-28T17:30:09.013468Z,39,10.5,0,0.00,49.87,19,2,95,100.0,0,3015,4,96,,1.5,False,7,0.01,0,802.0,3.4,2.84,20.0,434,0,82.2,1676844,1.49,22.1,5,115,0,640,48,,16,
50,John McGinn,53,MID,Aston Villa,59,78,28,1.05,4.99,1.5,a,109,7,341122,360.0,0,100.0,1.0,2,114,3.0,237,0.15,0.21,97,35,0,42,0,78,0.2,0.3,130,1.62,0.15,McGinn,2024-03-10T23:00:08.231987Z,205,0.9,5,5.01,49.85,9,-2,0,100.0,1,3000,9,69,2.0,3.0,False,62,10.00,0,640.4,3.4,0.0,690.7,41,1,169.4,360773,1.5,22.5,35,119,6,502,54,,46,
51,Tyrone Mings,41,DEF,Aston Villa,499,519,187,3.0,0.16,0.0,i,457,0,1079395,5.0,0,0.0,0.0,4,210,,508,0.03,0.0,693,1,0,177,0,162,0.0,0.51,683,6.0,0.48,Mings,2023-08-12T21:30:06.077936Z,188,1.0,0,0.01,1.08,0,-4,0,0.0,0,30,0,169,,0.0,False,79,0.17,0,3.6,0.0,0.0,13.0,444,0,2.2,11168,3.24,0.0,165,0,0,5,2,Knee injury - Expected back 01 Jun,263,
